 -0.4259776      -4.440458     -0.2907989     -0.1761722      2.0945144E-03  6.3427128E-03  0.9642594      0.8869079      0.1814185      1.7522734E-03  6.5919482E-03  1.2730530E-03  3.1435411E-02  0.1028883      0.1775898      0.3066700      5.8843691E-02 -6.6525728E-04  -1.383026     -0.1668278     -7.7157209E-05  -1.081658      -1.004422      0.8742037     -0.1812378     -8.3816791E-04  1.5697774E-03
 -0.4241342      -4.455974     -0.2928218     -0.1791121      1.6777916E-04  7.9986267E-03  0.9681526      0.8862401      0.1867011      1.0148501E-03  7.1845185E-03  1.5929691E-03  2.8548921E-02  0.1037194      0.1756158      0.2995901      5.5089936E-02 -5.0566538E-04  -1.383936     -0.1686498     -3.9778213E-05  -1.069440     -0.9581149      0.9217600     -0.1728023     -9.9605904E-04  1.8168811E-03
 -0.4132682      -4.451672     -0.2997997     -0.1679560      2.5396373E-03  1.2106970E-03  0.9689984      0.8915055      0.1778114      2.9775635E-03  1.3782197E-02  7.4283213E-05  2.6290262E-02  9.1819443E-02  0.1808225      0.2907317      6.0859971E-02 -6.9151103E-04  -1.363168     -0.1653495     -3.5238445E-05  -1.048413     -0.9258823      0.9743350     -0.1706571     -8.4456633E-04  1.5155460E-03
 -0.4162968      -4.429748     -0.2986102     -0.1673430      7.7583489E-04  2.0771935E-03  0.9709567      0.8815475      0.1774801      4.6772676E-04  1.4882416E-02  1.1943209E-03  2.6611794E-02  0.1007733      0.1709477      0.2959317      5.7400376E-02 -6.0344051E-04  -1.358112     -0.1740135     -7.8291996E-05  -1.042951     -0.9850289      0.9034169     -0.1697299     -9.7676064E-04  1.6884841E-03
 -0.4220506      -4.419597     -0.3070714     -0.1722485      1.9510939E-04  3.7902649E-04  0.9716162      0.8756438      0.1843993      1.6390709E-03  1.4748972E-02  2.2628522E-04  2.2658486E-02  0.1051568      0.1748789      0.2981218      5.9589010E-02 -6.7144138E-04  -1.328526     -0.1683708     -1.1222741E-05  -1.089671     -0.9454718      0.9153380     -0.1709580     -9.8826911E-04  1.6995551E-03
 -0.4204533      -4.445687     -0.2864596     -0.1743955      9.1603555E-04  7.1624569E-03  0.9635924      0.8899209      0.1862012      1.3260454E-03  6.8744514E-03  2.1557159E-04  3.0538715E-02  0.1007442      0.1801092      0.3009900      5.6130916E-02 -5.1041949E-04  -1.380753     -0.1716349     -3.3582139E-05  -1.076911     -0.9237112      0.9147176     -0.1729706     -1.2014630E-03  2.1256751E-03
 -0.4251621      -4.474163     -0.3163441     -0.1729140      8.6923392E-04  2.2329211E-03  0.9658908      0.8914080      0.1642181      5.5788347E-04  1.2000273E-02  9.1561186E-04  2.7850561E-02  9.4307490E-02  0.1812347      0.2858653      5.1769558E-02 -4.3149819E-04  -1.386282     -0.1703623     -3.3025446E-04  -1.018617     -0.9477358       1.032489     -0.1694306     -1.0451762E-03  1.7674098E-03
 -0.4271685      -4.416946     -0.3102964     -0.1744037      2.0324120E-03  1.8350612E-03  0.9679060      0.8838185      0.1796524      5.4831029E-04  1.2006727E-02  1.1160060E-04  2.8460637E-02  0.1022144      0.1740576      0.3013688      5.7852786E-02 -5.5575831E-04  -1.318854     -0.1724519     -8.8349669E-05  -1.080865     -0.9390307      0.9178371     -0.1697312     -1.1370821E-03  1.9573502E-03
 -0.4254473      -4.481185     -0.2916665     -0.1727306      3.6515030E-03  2.0205027E-03  0.9682490      0.8869730      0.1827153      3.6004238E-04  7.7449642E-03  5.2186887E-04  2.8992079E-02  0.1009143      0.1747300      0.2985776      5.7746604E-02 -5.9230078E-04  -1.332763     -0.1740095     -6.9158581E-05  -1.049339     -0.9541139      0.9261776     -0.1702826     -1.0112384E-03  1.7509848E-03
 -0.4242875      -4.438219     -0.3079139     -0.1717416      8.8623556E-04  1.0755262E-03  0.9730689      0.8740553      0.1852616      7.7560672E-04  1.6776547E-02  3.5711852E-04  2.2150129E-02  0.1056193      0.1721712      0.2960479      5.8789771E-02 -6.0076121E-04  -1.312822     -0.1693172     -2.8550124E-04  -1.079147     -0.9395210      0.9307052     -0.1683596     -9.6261152E-04  1.6174904E-03
 -0.4208489      -4.456003     -0.2897567     -0.1746932      9.8354074E-05  4.7897617E-03  0.9655035      0.8843120      0.1942530      4.9743094E-03  5.4127001E-03  6.9512537E-04  2.7135285E-02  0.1060249      0.1737449      0.3042781      5.7197426E-02 -5.7970319E-04  -1.356566     -0.1701263     -1.2980234E-04  -1.119188     -0.9267456      0.8782127     -0.1706388     -1.0164614E-03  1.7724709E-03
